"Id","SalePrice"
1461,118141.929635699
1462,156973.351541054
1463,174329.24929131
1464,189005.857993474
1465,195440.922740611
1466,162183.952399958
1467,168167.825663617
1468,156961.035155989
1469,188811.06356822
1470,116935.442430326
1471,181822.025906214
1472,95942.7783903283
1473,93904.4260724555
1474,144035.204039474
1475,112089.888304668
1476,352234.076761681
1477,241013.648870716
1478,292131.245890765
1479,289446.141454628
1480,463660.225766946
1481,324485.067215441
1482,209030.051928022
1483,173007.623460305
1484,158138.743221016
1485,189216.787904324
1486,191224.000304184
1487,334470.931035485
1488,234991.541078122
1489,184437.200500533
1490,228313.690938119
1491,188514.303339577
1492,90761.9265045421
1493,175289.712162948
1494,293661.501099275
1495,294049.512425111
1496,225317.041476728
1497,174848.85583381
1498,160669.926599422
1499,156191.24956557
1500,150536.594997557
1501,171215.180090795
1502,145868.524658704
1503,271472.289144633
1504,234542.872723814
1505,219561.870381421
1506,188852.277929077
1507,235322.032582234
1508,194259.729376458
1509,160296.65891231
1510,138659.025259857
1511,144157.357379189
1512,168477.859604597
1513,142023.409846723
1514,151679.642719479
1515,187858.413792941
1516,154120.512225801
1517,170202.868879604
1518,134897.274888607
1519,202387.11997978
1520,127287.532443535
1521,129138.328159457
1522,173871.227057871
1523,109839.437015319
1524,125065.800862491
1525,119095.927855829
1526,109038.746211251
1527,105861.307256427
1528,141801.443501789
1529,141050.775505
1530,174476.845512027
1531,105979.091123231
1532,99232.1424718866
1533,145136.149229792
1534,120678.151020178
1535,148917.224153018
1536,110603.270924071
1537,62433.6768421715
1538,146717.18830191
1539,185615.871701392
1540,90318.1151359529
1541,137172.193740961
1542,132930.70690904
1543,178018.262914927
1544,82890.5370665121
1545,103130.832012676
1546,125653.875002233
1547,122600.25875543
1548,125527.318239922
1549,110829.179702733
1550,126554.952197594
1551,111174.452509085
1552,128462.938066266
1553,144507.559647773
1554,115334.502490053
1555,164412.871922064
1556,87521.7374819488
1557,98031.7794215954
1558,97443.5355243084
1559,78373.614129022
1560,131681.083158763
1561,122875.78091208
1562,126536.728540078
1563,115881.786887209
1564,149286.58433809
1565,140249.711712744
1566,235152.228395899
1567,75045.3330653127
1568,229027.076504397
1569,131024.027546316
1570,137089.391414481
1571,121140.390748731
1572,139866.692767603
1573,223064.253248182
1574,114225.115698381
1575,218705.0742133
1576,229571.645612481
1577,173848.685543492
1578,142919.348432466
1579,142584.425216956
1580,189003.498692682
1581,156567.434037408
1582,123100.152686803
1583,284822.466680517
1584,212659.341486213
1585,134447.392584568
1586,65018.4640963984
1587,99512.6864482426
1588,148769.774095766
1589,91244.0660035392
1590,131350.413165306
1591,93854.4978037666
1592,120295.904833857
1593,121663.284800279
1594,120533.751553874
1595,106955.412777904
1596,222164.423472163
1597,190969.147700026
1598,219415.276805285
1599,163831.043886469
1600,157748.286239738
1601,65139.6131250323
1602,115124.087543505
1603,87992.5548911899
1604,264213.848108414
1605,238716.004099735
1606,167571.223447761
1607,177091.53312839
1608,215607.487950261
1609,179324.897001839
1610,147980.338101079
1611,142879.01253838
1612,167673.296587685
1613,163397.150434573
1614,123932.653451283
1615,91283.7401464987
1616,79035.0601778671
1617,93352.253412645
1618,124277.645060712
1619,135693.32622976
1620,147737.267670686
1621,137124.968883062
1622,137382.340433732
1623,253780.110515587
1624,209547.171477365
1625,118384.830725615
1626,167117.935424446
1627,184731.971742402
1628,267978.218732862
1629,176871.694807815
1630,337156.340700403
1631,225111.70989964
1632,242383.483688003
1633,169377.725758544
1634,178795.641499814
1635,170233.079478393
1636,147699.78992752
1637,193157.778791543
1638,181512.923444351
1639,180604.37449244
1640,245194.07804628
1641,178439.715482803
1642,238918.615401862
1643,213085.028629733
1644,230825.239226622
1645,189923.276423071
1646,155676.590844596
1647,159906.402959975
1648,126293.634357253
1649,139262.824159396
1650,110104.223907688
1651,121561.302643408
1652,97949.0900873091
1653,99532.2474577931
1654,143032.77094229
1655,134444.123311899
1656,138613.773864468
1657,145817.085111716
1658,143829.713879635
1659,118012.0921474
1660,151261.936626175
1661,424072.866263494
1662,378832.157651034
1663,366747.643188537
1664,470187.696644668
1665,300692.97200081
1666,316510.321952184
1667,378743.105378997
1668,333459.61304933
1669,294255.446155777
1670,335772.661175865
1671,257413.470907265
1672,406248.914193689
1673,283161.701279923
1674,237051.182611476
1675,188684.38939318
1676,185850.998892867
1677,214829.532657297
1678,422880.831714732
1679,380015.265323253
1680,320811.768607202
1681,243687.950375564
1682,306344.431046904
1683,183675.033352851
1684,175676.02874335
1685,169493.628298543
1686,165863.430615822
1687,168910.061657676
1688,187125.99647323
1689,191982.703653181
1690,196071.999529435
1691,183988.852191858
1692,259356.716801891
1693,167628.136568924
1694,176156.832676996
1695,158672.38634828
1696,262749.238466093
1697,164788.833455255
1698,341771.730337635
1699,309760.917173456
1700,252792.646215133
1701,276266.589963212
1702,239348.249432442
1703,240054.730311186
1704,272405.568557107
1705,241242.188323189
1706,416914.975270121
1707,205044.452895052
1708,194806.151202579
1709,254532.332639447
1710,217244.363991761
1711,265397.541470923
1712,246014.132203941
1713,263017.565253784
1714,215229.042793274
1715,203561.712842496
1716,175915.521817323
1717,174054.987173755
1718,133440.060022516
1719,204439.830932737
1720,228854.855782777
1721,165336.459667646
1722,128311.739544686
1723,155186.354963422
1724,190690.411274197
1725,226040.751665599
1726,177325.746914573
1727,149208.62043801
1728,176932.12371586
1729,159671.340201021
1730,153266.587654351
1731,117137.752175884
1732,122315.84258316
1733,110704.535607981
1734,118586.661912137
1735,127048.687528507
1736,106319.259657559
1737,296434.656712153
1738,254146.734094508
1739,235161.65460481
1740,208830.987265671
1741,181871.846568112
1742,167087.919020511
1743,175833.269222222
1744,317813.449179887
1745,210743.94596605
1746,183296.879650621
1747,213250.849335425
1748,209640.083721043
1749,144630.218808645
1750,125294.884273923
1751,241491.598326011
1752,115296.427234753
1753,148371.721314451
1754,191577.993511054
1755,164531.743206062
1756,121791.175557271
1757,118655.938472477
1758,140920.320547663
1759,158490.569846102
